### DATA:
#
# 913
#      Q             I(Q)           Error     
5.90390000E-02  1.02334220E+01  1.37868535E-01
5.95460000E-02  1.00745561E+01  1.40455743E-01
6.00520000E-02  9.75711352E+00  1.37042617E-01
6.05590000E-02  9.55210032E+00  1.35801861E-01
6.10660000E-02  9.61580430E+00  1.33818834E-01
6.15730000E-02  9.42094119E+00  1.33535393E-01
6.20790000E-02  9.22649609E+00  1.32703891E-01
6.25860000E-02  9.01654790E+00  1.32737586E-01
6.30930000E-02  8.98440627E+00  1.29514635E-01
6.36000000E-02  8.61963029E+00  1.32862408E-01
6.41060000E-02  8.53020601E+00  1.34166751E-01
6.46130000E-02  8.38323169E+00  1.28249729E-01
6.51200000E-02  8.29365141E+00  1.28246517E-01
6.56270000E-02  8.10042152E+00  1.26951701E-01
6.61340000E-02  8.01354800E+00  1.25712002E-01
6.66400000E-02  8.04766497E+00  1.26506847E-01
6.71470000E-02  7.80031094E+00  1.26985367E-01
6.76540000E-02  7.59096507E+00  1.19980388E-01
6.81610000E-02  7.39963803E+00  1.23078381E-01
6.86670000E-02  7.28953638E+00  1.23192329E-01
6.91740000E-02  7.21083600E+00  1.22721967E-01
6.96810000E-02  7.16669447E+00  1.18309444E-01
7.01880000E-02  7.04505648E+00  1.18779156E-01
7.06940000E-02  6.84422104E+00  1.18862142E-01
7.12010000E-02  6.68044338E+00  1.17098507E-01
7.17080000E-02  6.54933364E+00  1.22477299E-01
7.22150000E-02  6.55469666E+00  1.16506954E-01
7.27210000E-02  6.28724344E+00  1.15825094E-01
7.32280000E-02  6.34176624E+00  1.16949638E-01
7.37350000E-02  6.16955660E+00  1.14395860E-01
7.42420000E-02  6.03538030E+00  1.15472304E-01
7.47480000E-02  5.97094389E+00  1.11478143E-01
7.52550000E-02  5.84521790E+00  1.09638882E-01
7.57620000E-02  5.59554212E+00  1.12198478E-01
7.62690000E-02  5.66679068E+00  1.11590466E-01
7.67760000E-02  5.46113295E+00  1.11035147E-01
7.72820000E-02  5.67232085E+00  1.07670494E-01
7.77890000E-02  5.39778918E+00  1.08482954E-01
7.82960000E-02  5.16960164E+00  1.07033901E-01
7.88030000E-02  4.89258751E+00  1.05097640E-01
7.93090000E-02  5.14140248E+00  1.09736617E-01
7.98160000E-02  4.91826466E+00  1.09704658E-01
8.03230000E-02  4.94702101E+00  1.06829031E-01
8.08300000E-02  4.84463815E+00  1.07856409E-01
8.13360000E-02  4.82734514E+00  1.10352127E-01
8.18430000E-02  4.53084359E+00  1.09547143E-01
8.23500000E-02  4.64083481E+00  1.08805433E-01
8.28570000E-02  4.50349819E+00  1.09489624E-01
8.33630000E-02  4.30949804E+00  1.09865581E-01
8.38700000E-02  4.34699860E+00  1.09642267E-01
8.43770000E-02  4.41152381E+00  1.10446930E-01
8.48840000E-02  4.30330285E+00  1.08351151E-01
8.53900000E-02  4.16435329E+00  1.08142336E-01
8.58970000E-02  3.98118713E+00  1.08018195E-01
8.64040000E-02  3.91340730E+00  1.09991451E-01
8.69110000E-02  3.70086992E+00  1.10324577E-01
8.74170000E-02  3.74794493E+00  1.07170229E-01
8.79240000E-02  3.62328993E+00  1.08338791E-01
8.84310000E-02  3.62962172E+00  1.09472768E-01
8.89380000E-02  3.59498017E+00  1.08738170E-01
8.94440000E-02  3.45789545E+00  1.10476862E-01
8.99510000E-02  3.41436167E+00  1.06722337E-01
9.04580000E-02  3.40780146E+00  1.10408116E-01
9.09650000E-02  3.33114087E+00  1.05316379E-01
9.14710000E-02  3.28092857E+00  1.09146069E-01
9.19780000E-02  3.10042085E+00  1.04750628E-01
9.24850000E-02  3.01534316E+00  1.15818126E-01
9.29920000E-02  2.96908487E+00  1.13489114E-01
9.34980000E-02  2.93098963E+00  1.09353208E-01
9.40050000E-02  2.85943308E+00  1.10146225E-01
9.45120000E-02  2.75385401E+00  1.06633436E-01
9.50190000E-02  2.66650732E+00  1.10677742E-01
9.55250000E-02  2.79680076E+00  1.11290924E-01
9.60320000E-02  2.65090810E+00  1.02857617E-01
9.65390000E-02  2.68776490E+00  1.04983352E-01
9.70460000E-02  2.54206903E+00  1.06498373E-01
9.75520000E-02  2.59432334E+00  1.13222641E-01
9.80590000E-02  2.35391799E+00  1.11025130E-01
9.85660000E-02  2.34216288E+00  1.05580929E-01
9.90730000E-02  2.30744718E+00  1.11329956E-01
9.95790000E-02  2.30807998E+00  1.07235839E-01
1.00086000E-01  2.22901514E+00  1.07477849E-01
1.00593000E-01  2.29406676E+00  1.09708194E-01
1.01100000E-01  2.24030463E+00  1.06974017E-01
1.01606000E-01  2.06523858E+00  1.00656717E-01
1.02113000E-01  1.97353383E+00  1.04604476E-01
1.02620000E-01  1.95908419E+00  1.02335103E-01
1.03127000E-01  2.01796983E+00  9.81779462E-02
1.03633000E-01  1.95816369E+00  9.47351244E-02
1.04140000E-01  1.83471425E+00  9.91778170E-02
1.04647000E-01  1.91987050E+00  1.04646602E-01
1.05154000E-01  1.72899898E+00  1.03140663E-01
1.05660000E-01  1.85755824E+00  1.02884261E-01
1.06167000E-01  1.61316180E+00  9.48214339E-02
1.06674000E-01  1.74091543E+00  1.00469318E-01
1.07181000E-01  1.54414356E+00  9.76088574E-02
1.07687000E-01  1.75354532E+00  9.81198898E-02
1.08194000E-01  1.45255752E+00  9.56519832E-02
1.08701000E-01  1.53584814E+00  9.86978465E-02
1.09208000E-01  1.40464245E+00  9.74066608E-02
1.09714000E-01  1.45657171E+00  9.68664742E-02
1.10221000E-01  1.55789413E+00  9.00085549E-02
1.10728000E-01  1.43607108E+00  9.70739496E-02
1.11235000E-01  1.32730221E+00  9.25275809E-02
1.11741000E-01  1.35457575E+00  9.49547517E-02
1.12248000E-01  1.38155134E+00  9.00158275E-02
1.12755000E-01  1.26962439E+00  9.20790333E-02
1.13262000E-01  1.33866086E+00  1.00066693E-01
1.13768000E-01  1.32391644E+00  9.45500280E-02
1.14275000E-01  1.19747047E+00  9.42461655E-02
1.14782000E-01  1.32249552E+00  9.12447336E-02
1.15289000E-01  1.06782002E+00  9.46473405E-02
1.15795000E-01  1.15883659E+00  9.21879043E-02
1.16302000E-01  1.25344412E+00  9.17677021E-02
1.16809000E-01  1.08531381E+00  9.34089872E-02
1.17316000E-01  1.10678651E+00  8.79636227E-02
1.17822000E-01  9.87773861E-01  9.09666539E-02
1.18329000E-01  9.68471519E-01  9.50657095E-02
1.18836000E-01  1.17191197E+00  8.53898551E-02
1.19342000E-01  1.04338495E+00  8.97426799E-02
1.19849000E-01  1.05560032E+00  9.38125227E-02
1.20356000E-01  8.82542665E-01  8.84933932E-02
1.20863000E-01  1.14501275E+00  8.80463552E-02
1.21369000E-01  9.47128415E-01  9.69396915E-02
1.21876000E-01  9.58096048E-01  9.42661421E-02
1.22383000E-01  1.01662646E+00  8.78532646E-02
1.22890000E-01  7.60423117E-01  8.32635005E-02
1.23396000E-01  8.89969513E-01  1.00740865E-01
1.23903000E-01  8.28494222E-01  8.62221304E-02
1.24410000E-01  7.59555906E-01  9.37597307E-02
1.24917000E-01  8.31952708E-01  9.25307493E-02
1.25423000E-01  6.74354882E-01  8.49646576E-02
1.25930000E-01  8.21545161E-01  8.76365712E-02
1.26437000E-01  8.11915557E-01  9.00411876E-02
1.26944000E-01  7.51093111E-01  8.90298946E-02
1.27450000E-01  8.56973230E-01  9.35484697E-02
1.27957000E-01  7.59531979E-01  9.11988340E-02
1.28464000E-01  6.74678295E-01  9.06421606E-02
1.28970000E-01  8.04517742E-01  8.13467344E-02
1.29477000E-01  7.27981038E-01  8.57345399E-02
1.29984000E-01  8.04578268E-01  9.10549374E-02
1.30491000E-01  7.03610145E-01  8.99890198E-02
1.30997000E-01  7.00186118E-01  9.79715640E-02
1.31504000E-01  7.11548559E-01  8.37786692E-02
1.32011000E-01  6.47679940E-01  9.89838907E-02
1.32518000E-01  6.16064152E-01  9.22128313E-02
1.33024000E-01  5.87921649E-01  8.89050405E-02
1.33531000E-01  7.55636043E-01  7.89485402E-02
1.34038000E-01  7.25279726E-01  8.61272713E-02
1.34545000E-01  5.70010464E-01  8.91792941E-02
1.35051000E-01  7.21812684E-01  9.08338373E-02
1.35558000E-01  7.55572860E-01  8.36432201E-02
1.36065000E-01  5.95189489E-01  8.72929450E-02
1.36571000E-01  5.84235781E-01  8.06841053E-02
1.37078000E-01  4.73766995E-01  1.52460225E-01
1.37585000E-01  6.50222948E-01  8.25715450E-02
1.38092000E-01  6.82381344E-01  9.15124350E-02
1.38598000E-01  7.12277911E-01  8.57087114E-02
1.39105000E-01  6.47017756E-01  8.39065722E-02
1.39612000E-01  5.33918565E-01  7.92292830E-02
1.40119000E-01  5.54864744E-01  7.94794955E-02
1.40625000E-01  6.00749802E-01  8.65238245E-02
1.41132000E-01  5.24833229E-01  8.36262079E-02
1.41639000E-01  5.47811989E-01  9.43406460E-02
1.42145000E-01  7.07624705E-01  9.53216993E-02
1.42652000E-01  4.76880589E-01  7.69572598E-02
1.43159000E-01  5.38349413E-01  8.60896736E-02
1.43666000E-01  4.56962730E-01  6.53241174E-02
1.44172000E-01  5.10464993E-01  8.69454455E-02
1.44679000E-01  5.43363979E-01  9.39914089E-02
1.45186000E-01  6.14663575E-01  8.48288225E-02
1.45692000E-01  4.96361562E-01  8.18496194E-02
1.46199000E-01  5.63520615E-01  8.82573708E-02
1.46706000E-01  5.79684015E-01  9.76586231E-02
1.47213000E-01  5.88612578E-01  7.82021533E-02
1.47719000E-01  5.78460475E-01  9.03066643E-02
1.48226000E-01  5.18658035E-01  8.29350435E-02
1.48733000E-01  5.85608375E-01  9.94397935E-02
1.49240000E-01  5.15810495E-01  8.07585172E-02
1.49746000E-01  5.11017319E-01  8.57379377E-02
1.50253000E-01  4.58438976E-01  3.46138616E-01
1.50760000E-01  5.37966899E-01  1.55126095E-01
1.51266000E-01  6.08193881E-01  7.90710262E-02
1.51773000E-01  4.65184273E-01  8.66947147E-02
1.52280000E-01  4.70801122E-01  8.82309122E-02
1.52787000E-01  4.82054933E-01  7.74640406E-02
1.53293000E-01  4.10724937E-01  8.16593425E-02
1.53800000E-01  3.99363393E-01  8.00517593E-02
1.54307000E-01  5.42546109E-01  9.30669005E-02
1.54813000E-01  5.19557806E-01  8.81132385E-02
1.55320000E-01  3.91852782E-01  8.85439205E-02
1.55827000E-01  5.35916154E-01  7.54967349E-02
1.56334000E-01  5.55478037E-01  8.98221453E-02
1.56840000E-01  5.30373907E-01  8.62021480E-02
1.57347000E-01  4.09535238E-01  8.76610882E-02
1.57854000E-01  4.85635029E-01  9.71000784E-02
1.58360000E-01  5.58051269E-01  7.60454063E-02
1.58867000E-01  2.95692155E-01  8.58753887E-02
1.59374000E-01  3.72698625E-01  9.05739932E-02
1.59881000E-01  5.21788831E-01  8.40325233E-02
1.60387000E-01  5.30080647E-01  7.95637594E-02
1.60894000E-01  2.97216822E-01  8.64379767E-02
1.61401000E-01  5.82156110E-01  7.61795743E-02
1.61907000E-01  5.54465489E-01  7.81153884E-02
1.62414000E-01  3.62299203E-01  9.60339905E-02
1.62921000E-01  4.93947864E-01  7.99010467E-02
1.63427000E-01  3.90799750E-01  7.56213588E-02
1.63934000E-01  3.89245722E-01  7.20738304E-02
1.64441000E-01  3.67641070E-01  1.39625711E-01
1.64948000E-01  4.69381250E-01  1.03488407E+00
1.65454000E-01  3.25330955E-01  1.53767243E+00
1.65961000E-01  3.06223821E-01  8.01231895E-02
1.66468000E-01  3.07643084E-01  8.05962203E-02
1.66974000E-01  4.27006025E-01  1.01076233E-01
1.67481000E-01  3.72417244E-01  1.01626944E-01
1.67988000E-01  4.86059048E-01  9.07014432E-02
1.68495000E-01  3.41023610E-01  9.03111806E-02
1.69001000E-01  3.59679554E-01  6.39537065E-02
1.69508000E-01  3.94925510E-01  8.47993497E-02
1.70015000E-01  3.23857068E-01  7.63896743E-02
1.70521000E-01  4.30711322E-01  7.62150372E-02
1.71028000E-01  2.86317133E-01  6.31187833E-02
1.71535000E-01  2.78793112E-01  1.35363318E-01
1.72041000E-01  4.04143832E-01  1.01507969E-01
1.72548000E-01  4.02254392E-01  9.85843545E-02
1.73055000E-01  3.59077102E-01  3.59130111E-01
1.73562000E-01  3.34904723E-01  8.90728736E-02
1.74068000E-01  3.74962881E-01  8.57088123E-02
1.74575000E-01  2.24365275E-01  1.60340939E-01
1.75082000E-01  3.89173313E-01  8.58205893E-02
1.75588000E-01  2.48079021E-01  7.42995926E-02
1.76095000E-01  4.23245103E-01  9.27947720E-02
1.76602000E-01  5.17582906E-01  7.43298747E-02
1.77108000E-01  3.53584670E-01  7.83287712E-02
1.77615000E-01  3.18919045E-01  7.05494217E-02
1.78122000E-01  2.23002924E-01  1.28786399E-01
1.78629000E-01  2.80269001E-01  1.78417568E-01
1.79135000E-01  3.45986205E-01  7.73207182E-02
1.79642000E-01  3.90527534E-01  1.10151511E-01
1.80149000E-01  3.28192269E-01  8.03852493E-02
1.80655000E-01  1.54178490E-01  6.71501518E-01
1.81162000E-01  2.29882316E-01  7.84789867E-02
1.81669000E-01  3.01592612E-01  1.67959106E-01
1.82175000E-01  3.35412912E-01  1.09099809E-01
1.82682000E-01  2.54974079E-01  9.80099148E-02
1.83189000E-01  3.07702223E-01  7.80811211E-02
1.83695000E-01  3.86207305E-01  1.01857226E-01
1.84202000E-01  2.54093679E-01  8.90874751E-02
1.84709000E-01  2.86417399E-01  5.56787987E-01
1.85216000E-01  2.52347745E-01  9.63650120E-02
1.85722000E-01  2.61255799E-01  1.00664046E-01
1.86229000E-01  1.17175321E-01  1.33275281E-01
1.86736000E-01  2.06646682E-01  8.60625956E-02
1.87242000E-01  2.07151831E-01  7.40822588E-02
1.87749000E-01  2.58316950E-01  2.13162246E-01
1.88256000E-01  1.13459873E-01  7.78051177E-02
1.88762000E-01  3.90807448E-01  9.04555971E-02
1.89269000E-01  3.02717745E-01  8.46409906E-02
1.89776000E-01  2.05316238E-01  1.07067496E+00
1.90282000E-01  2.05542582E-01  7.79891055E-02
1.90789000E-01  2.48701341E-01  7.83702774E-02
1.91296000E-01  3.11003050E-01  1.27755937E-01
1.91802000E-01  2.09903784E-01  4.28518585E-01
1.92309000E-01  2.13799825E-01  9.83884553E-02
1.92816000E-01  1.99465973E-01  3.88244825E-01
1.93323000E-01  2.67569710E-01  7.56350944E-02
1.93829000E-01  1.11735471E-01  1.03095923E-01
1.94336000E-01  1.30640202E-01  2.92981873E-01
1.94843000E-01  2.60082731E-01  1.24768983E-01
1.95349000E-01  1.91651322E-01  6.87916283E-02
1.95856000E-01  2.04912523E-01  9.29707200E-02
1.96363000E-01  3.20982582E-01  7.75553813E-02
1.96869000E-01  3.13717415E-01  8.87040584E-02
1.97376000E-01  2.77608874E-01  1.42832471E-01
1.97883000E-01  6.59079527E-02  1.21521792E-01
1.98389000E-01  2.79823959E-01  9.48706045E-02
1.98896000E-01  1.54860212E-01  1.52067853E-01
1.99403000E-01  2.14436054E-01  7.72597355E-02
1.99909000E-01  1.96664950E-01  1.66152380E-01
2.00416000E-01  1.80413465E-01  1.24588745E-01
2.00923000E-01  5.18489185E-02  7.17984785E-02
2.01429000E-01  2.25761859E-01  1.31245774E-01
2.01936000E-01  3.45754266E-01  7.74915646E-02
2.02443000E-01  1.19694804E-01  7.51846806E-02
2.02949000E-01  8.51055004E-02  3.23106691E-01
2.03456000E-01  2.46816717E-01  1.04096498E-01
2.03963000E-01  1.77111677E-01  6.96444799E-02
2.04469000E-01  1.57299208E-01  9.19829096E-02
2.04976000E-01  3.52782737E-01  8.03020567E-02
2.05483000E-01  1.80120269E-01  6.38281081E-02
2.05989000E-01  2.18763235E-01  1.04585620E-01
2.06496000E-01  1.06526445E-01  9.62133265E-02
2.07003000E-01  2.19852287E-01  1.41737801E-01
2.07509000E-01  1.13589382E-01  9.53426544E-02
2.08016000E-01  1.69452605E-01  2.14967440E-01
2.08523000E-01  1.09142754E-01  1.50775745E-01
2.09029000E-01  2.04859872E-01  8.46554668E-02
2.09536000E-01  9.41075218E-02  9.14171345E-02
2.10043000E-01  2.14640149E-01  8.37447400E-02
2.10549000E-01  1.96703956E-01  8.40801766E-02
2.11056000E-01  2.24393487E-01  7.65983995E-02
2.11563000E-01  1.37076462E-01  1.36511808E-01
2.12069000E-01  1.90328314E-01  1.30648212E+00
2.12576000E-01  5.28813692E-02  5.20826703E-02
2.13083000E-01  1.52755510E-01  7.50398525E-02
2.13589000E-01  1.24942865E-01  7.67783446E-02
2.14096000E-01  1.70067298E-01  5.86072428E-02
2.14603000E-01  1.41741228E-01  8.17626717E-02
2.15109000E-01  1.72659603E-01  6.60303088E-02
2.15616000E-01  2.19409824E-01  6.98658765E-02
2.16123000E-01  2.00680610E-01  6.99747858E-02
2.16629000E-01  1.74256977E-01  1.79185698E-01
2.17136000E-01  1.41793016E-01  7.06919314E-02
2.17643000E-01  1.02994101E-01  7.24208627E-02
2.18149000E-01  1.28549244E-01  6.69317019E-02
2.18656000E-01  1.65090324E-01  2.05604599E-01
2.19163000E-01  2.11478181E-01  9.03889978E-02
2.19669000E-01  2.54436234E-01  8.97304065E-02
2.20176000E-01  2.78171006E-02  6.82850668E-02
2.20683000E-01  1.25292067E-01  9.45378983E-02
2.21189000E-01  1.82363680E-01  1.52320873E-01
2.21696000E-01  1.26723369E-01  7.06733294E-02
2.22203000E-01  1.38779229E-01  1.13814571E-01
2.22709000E-01  1.45816836E-01  7.74735443E-02
2.23216000E-01  1.36610425E-01  2.25645020E-01
2.23722000E-01  2.39409492E-01  7.31862001E-02
2.24229000E-01  5.79161725E-02  9.23952104E-02
2.24736000E-01  1.48152187E-01  1.01352234E-01
2.25242000E-01  1.54459890E-01  1.86068194E-01
2.25749000E-01  2.28655491E-01  6.55585129E-02
2.26256000E-01  1.13961354E-01  6.33457208E-02
2.26762000E-01  6.26919160E-02  8.58428132E-02
2.27269000E-01  2.44581312E-01  6.52254331E-02
2.27776000E-01  1.22982491E-01  1.43529132E-01
2.28282000E-01  1.51796831E-01  6.19950612E-02
2.28789000E-01  1.52467759E-01  2.45373713E-01
2.29296000E-01  1.61794986E-01  2.95576099E+00
2.29802000E-01  2.00532136E-01  8.67746398E-02
2.30309000E-01  1.04790759E-01  2.40864660E-01
2.30816000E-01  1.45367546E-01  7.23291470E-02
2.31322000E-01  1.68443414E-01  7.52733444E-02
2.31829000E-01  1.93971788E-01  9.94014293E-02
2.32335000E-01  4.87296888E-02  7.18546223E-02
2.32842000E-01  7.95236080E-02  2.20556198E+00
2.33349000E-01  1.95353847E-01  6.76928414E-02
2.33855000E-01  1.78641222E-01  2.21328595E-01
2.34362000E-01  1.66294585E-01  1.51809839E-01
2.34869000E-01  8.25667204E-02  3.48911028E-01
2.35375000E-01  3.79639900E-02  6.40627755E-02
2.35882000E-01  9.04154611E-02  6.77841191E-02
2.36389000E-01  1.29444094E-01  1.04547231E-01
2.36895000E-01  1.14309192E-01  2.37503351E-01
2.37402000E-01  5.77016879E-02  1.35606509E-01
2.37908000E-01  1.24755098E-01  7.12445566E-02
2.38415000E-01  1.79052820E-01  7.81910823E-02
2.38922000E-01  1.15284990E-01  7.51133803E-02
2.39428000E-01  5.28021394E-02  6.96217851E-02
2.39935000E-01  1.54380713E-01  6.36905487E-02
2.40442000E-01  7.32831708E-02  6.23523054E-02
2.40948000E-01  1.09081842E-01  6.16911039E-02
2.41455000E-01  1.16578649E-01  1.15996228E-01
2.41962000E-01  1.75293771E-02  2.76129835E-01
2.42468000E-01  1.67748398E-01  6.58160126E-02
2.42975000E-01  1.20049759E-01  6.37040206E-02
2.43481000E-01  4.20036455E-02  5.64075642E-02
2.43988000E-01  1.86491441E-01  6.37226201E-02
2.44495000E-01  1.22306203E-01  7.43754675E-02
2.45001000E-01  6.55568504E-02  7.39233662E-02
2.45508000E-01  8.12784359E-02  1.97273332E+00
2.46015000E-01  1.29060461E-01  8.11229115E-02
2.46521000E-01  1.18893758E-01  6.34191112E-02
2.47028000E-01  1.71968394E-01  5.85617564E-02
2.47534000E-01  1.58236931E-01  5.97466069E-02
2.48041000E-01  6.79525531E-02  1.04949679E-01
2.48548000E-01  1.45627851E-01  6.95659880E-02
2.49054000E-01  8.76649996E-02  7.05743241E-02
2.49561000E-01  4.68332468E-02  6.02268956E-02
2.50068000E-01  1.37593833E-01  9.44232772E-02
2.50574000E-01  1.14796814E-01  2.04924864E+00
2.51081000E-01  6.39267304E-02  2.33667678E-01
2.51587000E-01  9.74985736E-02  9.30061053E-02
2.52094000E-01  1.15314968E-01  1.32950441E-01
2.52601000E-01  2.42621996E-01  8.16256072E-02
2.53107000E-01  8.72721091E-02  6.25042858E-02
2.53614000E-01  1.49081708E-01  2.40278281E-01
2.54120000E-01  1.06479087E-01  1.39233954E-01
2.54627000E-01  1.01383460E-01  6.28698898E-02
2.55134000E-01  2.96674769E-02  6.77705056E-01
2.55640000E-01  7.04313703E-02  8.32064653E-02
2.56147000E-01  1.64388014E-01  1.80626775E-01
2.56654000E-01  1.11724803E-01  5.62826292E-02
2.57160000E-01  1.23191230E-01  7.67874002E-02
2.57667000E-01  1.67527307E-01  6.51019009E-02
2.58173000E-01  1.85506900E-01  7.05490138E-02
2.58680000E-01  1.49108189E-01  1.23712329E-01
2.59187000E-01  1.36716741E-01  2.45345519E+00
2.59693000E-01  1.27770861E-01  6.04647110E-02
2.60200000E-01  1.19877218E-01  1.42893246E-01
2.60706000E-01  1.33816201E-01  8.96530831E-02
2.61213000E-01  5.93891722E-02  9.30736490E-02
2.61720000E-01  1.18375539E-01  1.19152341E-01
2.62226000E-01  3.38766732E-02  6.33540227E-02
2.62733000E-01  1.26388404E-01  7.28847758E-02
2.63239000E-01  1.60693520E-01  3.09813517E-01
2.63746000E-01  1.94320174E-02  3.54694130E-01
2.64253000E-01  7.34108489E-02  9.18241964E-02
2.64759000E-01  1.72334194E-01  8.21705888E-02
2.65266000E-01  8.70020647E-02  1.84064868E-01
2.65772000E-01  1.54765276E-01  6.14299799E-02
2.66279000E-01  1.57890007E-01  8.12914528E-02
2.66786000E-01  1.70304342E-02  7.14789592E-02
2.67292000E-01  1.14290311E-01  4.61567770E-02
2.67799000E-01  1.08471048E-01  6.01589384E-02
2.68305000E-01  1.83626509E-01  1.16015307E-01
2.68812000E-01  1.15101846E-01  1.60422406E+00
2.69319000E-01  1.35102053E-01  2.65071082E-01
2.69825000E-01  1.71902456E-01  5.74935061E-02
2.70332000E-01  7.37638773E-03  1.42786752E-01
2.70838000E-01  9.77491425E-02  7.14575729E-02
2.71345000E-01  1.24584148E-01  7.08204764E-02
2.71852000E-01  1.50440517E-01  6.17887074E-02
